aluminum_pricing_form
key,description,unit,price_usd
TOLEDO_GATE_WALK_60_4,"Toledo walk gate 60"" x 4'",ea,445
TOLEDO_GATE_DOUBLE_48_4,"Toledo double gate 48"" x 4'",ea,785
TOLEDO_GATE_DOUBLE_60_4,"Toledo double gate 60"" x 4'",ea,859.9
ALU_PANEL_TOLEDO_60,Toledo aluminum panel 6ft (5'),ea,124.99
ALU_POST_LINE_TOLEDO_60,Toledo line post (5'),ea,39.99
ALU_POST_CORNER_TOLEDO_60,Toledo corner post (5'),ea,39.99
ALU_POST_END_TOLEDO_60,Toledo end post (5'),ea,39.99
ALU_POST_GATE_TOLEDO_60,Toledo gate post (5'),ea,75
ALU_POST_BLANK_TOLEDO_60,Toledo blank post (5'),ea,39.99
TOLEDO_BLANK_GATE_POST_60,Toledo blank gate post add-on (5'),ea,75
TOLEDO_GATE_WALK_48_5,"Toledo walk gate 48"" x 5'",ea,429.99
TOLEDO_GATE_WALK_60_5,"Toledo walk gate 60"" x 5'",ea,459.99
TOLEDO_GATE_DOUBLE_48_5,"Toledo double gate 48"" x 5'",ea,859.99
TOLEDO_GATE_DOUBLE_60_5,"Toledo double gate 60"" x 5'",ea,899.99
ALU_PANEL_TERRIER_48,Terrier aluminum panel 6ft (4'),ea,169.99
ALU_POST_LINE_TERRIER_48,Terrier line post (4'),ea,34.99
ALU_POST_CORNER_TERRIER_48,Terrier corner post (4'),ea,34.99
ALU_POST_END_TERRIER_48,Terrier end post (4'),ea,34.99
ALU_POST_GATE_TERRIER_48,Terrier gate post (4'),ea,65.99
ALU_POST_BLANK_TERRIER_48,Terrier blank post (4'),ea,34.99
TERRIER_BLANK_GATE_POST_48,Terrier blank gate post add-on (4'),ea,65.99
TERRIER_GATE_WALK_48_4,"Terrier walk gate 48"" x 4'",ea,386.99
TERRIER_GATE_WALK_60_4,"Terrier walk gate 60"" x 4'",ea,
TERRIER_GATE_DOUBLE_48_4,"Terrier double gate 48"" x 4'",ea,809.99
TERRIER_GATE_DOUBLE_60_4,"Terrier double gate 60"" x 4'",ea,
